# NuRec scenes with a COMPLETE junction traversal (>=10 poses before entry AND after exit)
# MEASURED 2026-08-03, stage-1 survey of all 1607 scenes (results/nurec_survey_stage1.jsonl).
# T1 = |turn| >= 60 deg (a real junction turn) | T2 = 25..60 deg.
# These are candidates by GEOMETRY. Whether the ego's own lane had >=2 options is a
# map question -- run junction_probe.py / strategic_gt.py per scene (stage 2).
tier	turn_deg	scene_id	category	pose_span	poses_pre	poses_post	n_complete	n_traversals	path_m	n_poses
T1	79.63	a4d2f7cf-b7cd-4494-8d79-58ad90f1c66d	FOUR_WAY	[103, 146]	103	55	1	1	114.88	202
T1	79.47	22fa5c92-6e6f-4f4e-bbfa-9a1490f9cd38	FOUR_WAY	[109, 166]	109	35	1	1	43.23	202
T1	79.33	454a378b-8594-43ed-97d7-c7845ff54125	TWO_WAY_STOP	[132, 175]	132	26	1	1	116.89	202
T1	79.03	403d558a-788a-4c46-a525-d8faabc9c417	FOUR_WAY_ASYMMETRICAL_PUBLIC_CONTROLLED	[37, 70]	37	131	1	2	79.49	202
T1	78.62	0494c646-c537-4c6b-98b9-96c7e91fd0a8	FOUR_WAY	[66, 122]	66	79	1	1	93.25	202
T1	78.59	a4be61d6-099b-4380-8c32-ad176781b288	TWO_WAY_STOP	[41, 103]	41	98	1	1	51.32	202
T1	78.52	62a6072a-6fb3-4053-89a3-a2744c1be219	FOUR_WAY	[140, 174]	140	27	1	1	41.53	202
T1	78.51	e0699821-d727-4274-b122-8a90dd8255d3	T_JUNCTION	[126, 178]	126	23	1	2	66.95	202
T1	78.17	3a48e906-2733-4fc9-b687-6b2ed33defec	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[111, 148]	111	53	1	2	162.58	202
T1	77.51	9b2b3274-205a-482b-9bf7-38b1534c5941	FOUR_WAY	[71, 109]	71	92	1	1	60.4	202
T1	77.32	1362a301-09fc-4a68-9135-4eaef109f0d0	TWO_WAY_STOP	[61, 103]	61	98	1	1	88.45	202
T1	77.14	0cb146c8-f877-4d11-ac73-ed7b68a9eae5	FOUR_WAY	[91, 123]	91	78	1	1	184.63	202
T1	76.94	bb4394e7-7485-43f3-877c-f83e40d48a13	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[96, 135]	96	66	1	1	69.36	202
T1	76.61	268949d2-3e20-4972-8785-c15e4fcb5fde	T_JUNCTION	[99, 130]	99	71	1	1	76.2	202
T1	76.54	624265f9-9c16-49c0-ab8b-9660cd740c34	TWO_WAY_STOP	[97, 139]	97	62	1	1	89.76	202
T1	75.86	f636ac7b-7984-4c83-820e-c315642d1bfb	FOUR_WAY	[59, 114]	59	87	2	3	185.77	202
T1	75.39	7db87a26-d589-4212-85b9-dcd4c565f41d	T_JUNCTION_ASYMMETRICAL	[47, 102]	47	99	1	1	102.55	202
T1	75.19	e297279a-6d0d-4d36-8882-ce69a79d324a	FOUR_WAY	[29, 107]	29	94	1	2	94.29	202
T1	75.14	471f2484-3cdd-47bb-9039-abc856acaeb8	ROUNDABOUT	[16, 64]	16	137	2	3	253.65	202
T1	74.88	149fbd30-9ccf-4b23-b3fa-6ccbad8bb88c	T_JUNCTION_ASYMMETRICAL_PUBLIC_CONTORLLED	[29, 135]	29	66	1	1	115.47	202
T1	74.66	007a5809-8a56-40b5-8af5-7e0f65229496	ROUNDABOUT	[127, 191]	127	10	2	2	244.23	202
T1	74.15	cc466599-a3da-438c-b3ef-fdc6bd282e31	FOUR_WAY	[92, 169]	92	32	1	1	59.7	202
T1	74.1	9c0a8e69-14cd-4a15-b04f-dea1c583a27b	T_JUNCTION	[104, 143]	104	58	1	1	80.79	202
T1	74.07	8c9a30c7-1283-4558-9b9e-5245ae607d2e	FOUR_WAY	[51, 105]	51	96	1	1	146.97	202
T1	73.69	e206610d-26be-49e2-953f-7e0593c5dc4d	FOUR_WAY	[82, 138]	82	63	1	1	103.95	202
T1	73.54	e9335cc9-4273-4c4a-b975-051551836cae	FOUR_WAY_STOP	[156, 185]	156	16	1	1	134.97	202
T1	73.44	f4e31360-9d31-4064-8cfb-efd7f3e072b7	FOUR_WAY	[124, 179]	124	22	1	1	72.55	202
T1	73.15	6ce9587c-acf1-4b80-824f-d198213caeab	FOUR_WAY	[149, 188]	149	13	1	1	101.96	202
T1	72.95	fd01e9ab-05d6-445a-b974-02a33793ab49	FOUR_WAY	[69, 102]	69	99	1	1	235.73	202
T1	72.92	fda39805-f188-4751-81cb-9de1c5071b5d	FOUR_WAY	[101, 146]	101	55	1	1	47.04	202
T1	72.53	28fda1db-773b-450d-bfec-5538ba5503db	FOUR_WAY	[34, 76]	34	125	1	1	114.68	202
T1	72.09	dc1966f4-c32c-4028-a4c2-7515ceb1af1f	FOUR_WAY	[103, 145]	103	56	2	2	110.18	202
T1	72.06	51904be9-9fd8-427f-96ac-42a66d338314	FOUR_WAY	[99, 150]	99	51	1	1	60.39	202
T1	71.81	42a44314-739b-4d5f-9bbe-a960bec36277	FOUR_WAY	[108, 157]	108	44	1	1	68.71	202
T1	71.71	646a328d-b6c4-4e3f-b7bb-0509bed28fa7	FOUR_WAY	[84, 118]	84	83	2	2	91.07	202
T1	71.1	706f3a65-b118-4745-862f-50936cc68463	ROUNDABOUT	[93, 157]	93	44	1	1	143.27	202
T1	70.92	f335b031-bbaf-42a1-bd5d-465081ec5f4b	FOUR_WAY	[31, 108]	31	93	1	1	110.98	202
T1	70.43	4969ac16-f08c-4231-a4d4-8a5b46422f76	FOUR_WAY	[130, 174]	130	27	1	1	74.72	202
